work_id,mp_no,fy,work_no,mp_name,mp_state,state,constituency,work_category,work_desc,work_status,recommended_date,recommended_amount,sanction_date,sanction_amount,completion_date,amount_disbursed,exp_pay_count,exp_total,exp_inprogress,exp_paid,exp_vendors,alloc_limit,calamity_consent,is_recommended,is_sanctioned,is_completed,has_expenditure
MP005/2024-2025/145074,005,2024-2025,145074,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,Normal/Others,"Construction of C.C Road at Bhalan Para Vistar, Keshaji Mangaji House towards Dasrathbhai Somabhai House",Physical Inspection,2024-10-01,450000.0,2025-03-29,450000.0,2025-04-15,450000.0,,,,,,147000000.0,,1,1,1,0
MP005/2025-2026/183135,005,2025-2026,183135,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",,,,,,,,,1.0,450000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/194320,005,2025-2026,194320,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,299994.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/203627,005,2025-2026,203627,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,149916.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/203632,005,2025-2026,203632,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,99816.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/221702,005,2025-2026,221702,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,Providing drains and gutters for public drainage,,,,,,,,,1.0,399949.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/230214,005,2025-2026,230214,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,Providing drains and gutters for public drainage,,,,,,,,,1.0,450000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/230419,005,2025-2026,230419,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,200000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/234492,005,2025-2026,234492,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,200000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/234549,005,2025-2026,234549,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,400000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/235886,005,2025-2026,235886,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,149967.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/235900,005,2025-2026,235900,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,200000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/235909,005,2025-2026,235909,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,250000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/239933,005,2025-2026,239933,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,200000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/246090,005,2025-2026,246090,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,199804.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2025-2026/247843,005,2025-2026,247843,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,Installing tube-wells and borewells,,,,,,,,,1.0,449889.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2026-2027/230117,005,2026-2027,230117,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,494800.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2026-2027/230227,005,2026-2027,230227,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,100000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2026-2027/264024,005,2026-2027,264024,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,200000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2026-2027/265154,005,2026-2027,265154,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,199308.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP005/2026-2027/265175,005,2026-2027,265175,Devusinh Jesingbhai Chauhan,Gujarat,Gujarat,KHEDA,"Construction of roads, link roads, pathways or any other road with or without drainage system",,,,,,,,,1.0,200000.0,0.0,0.0,1.0,147000000.0,40567400.0,0,0,0,1
MP013/2024-2025/136719,013,2024-2025,136719,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Construction of dry wall and boundary wall for protection of agriculture crops from wild animals within Tomki estate at Middle Luing under Luing Parbing GPU,Work Completed,2024-08-22,2000000.0,2024-10-30,2000000.0,2024-10-30,1999677.0,,,,,,152003923.11,,1,1,1,0
MP013/2024-2025/137237,013,2024-2025,137237,Indra Hang Subba,Sikkim,Sikkim,SIKKIM,Normal/Others,Construction of drainage system at Ambakey jhora under Chamlathang GPU,Work Completed,2024-08-27,1500000.0,2024-11-13,1500000.0,2024-11-25,1499545.0,,,,,,152003923.11,,1,1,1,0
