split,kind,anchor_text,other_text,label
train,positive,GRAM PANCHAYAT BAGDARI ME PANI KE TENKAR KI KHARED,GRAM PANCHYAT GADAGHAT ME PANI KE TENKAR KI KHARID,1
train,hard_negative,Construction of paver block road from Dharamdas Kongari's house to Mahindra Munda garden in village Khijurtoli under Panchayat Udikel.,Construction of PCC road from Bhagirathi Mahato's house to village Pradhan Mangal Marandi's house in village Pawarol of Mahitpur Panchayat under Seraikela block.,0
train,positive,Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.,Providing Laboratory equipment to Physical Science/Biological Science/Mathematics and Social Studies.,1
train,hard_negative,RAM RAJ PAL S\O RAM NIHOR PAL K GHAR 01 NAG SOLAR LIGHT,TASLIM ARIF S\O JIYA UL HAQ K GHAR 01 NAG SOLAR LIGHT,0
train,easy_negative,"gram panchayat kinjari, tahsil vijaypur, mai 1 gi water tanker",HIGH MAST LIGHT WITH FOUR LED RECOMMENDED IN MY CONSTITUENCY RAMPUR BY IA UPSIC MORADABAD(VILLAGE ANWA MAI NARESH DIVANKAR KE GHAR KE PAS TIRAHE PAR HIGH MAST LIGHT),0
train,easy_negative,Gav Karsana Me Gati Vale Bavaji ke pass High Maska Light Karya,PROVIDING OF STREET LIGHTS IN NANDANAM VILLAGE,0
train,hard_negative,Construction of foothpath PWD Road near near Tlangnawna House. W Phaileng,Construction of PCC Flooring at Community Hall road at chuntlang,0
train,hard_negative,NEBUHA BUS STAND KE PAS,MARSARHA BUS STAND KE PAS,0
train,hard_negative,Hanumat Yadav S/o Harishchandra Ke Ghar ke Samne Handpump,Sharda Prasad S/o Jhallar Ke Ghar ke Samne Handpump,0
train,positive,FOOL CHAND YADAV S\O BANSH RAJ YADAV K GHAR 01 NAG SOLAR LIGHT,JWALA PRASAD YADAV S\O SHYAM JEET YADAV K GHAR 01 NAG SOLAR LIGHT,1
train,positive,16 miter unchai wale L.E.D. (150*8) high mask light ufrail sharma tola me kumud yadav ke ghar ke samne aek adad adhisthapit karne ki anusansha ki jati hai,16 miter unchai wale L.E.D. (150*8) high mask light line bajar V.I.P. tola chauk me aek adad adhisthapit karne ki anusansha ki jati hai,1
train,positive,L.No. 179 Dt. 07.10.24 Gram Panchayat Gehubarsa ke Gehubarsa me,L.No. 179 Dt. 07.10.24 Gram Panchayat Sendurjana ke Sendurjana me,1
train,easy_negative,"Purchase of IT systems, including hardware and software for educational purposes at Government Higher Secondary School Chando",Lachit Sangha,0
train,hard_negative,VIJAY KUMAR YADAV S\O LALCHAND YADAV K GHAR 01 NAG SOLAR LIGHT,BANWARI LAL SHARMA S\O BUDHIRAM SHARMA K GHAR 01 NAG SOLAR LIGHT,0
