pair_a,pair_b,expected,before,after
Samudayik Bhavan Nirman,Community Bhavan,MATCH,0.5143,0.24
Bhavan,Bhawan,MATCH,0.8985,0.921
Nali Nirman,Construction of drain,MATCH,0.1061,0.2773
Kharanja,CC Road,MATCH,0.2728,0.4149
Shauchalaya Nirman,Construction of toilet,MATCH,0.1337,0.1381
Construction of school building at Village A,Construction of school building at Village B,NOT_MATCH,0.9799,0.9542
Construction of road,Supply of computers to school,NOT_MATCH,0.1666,0.1199
Khel Maidan Vikas,Repair of water tank,NOT_MATCH,0.1353,0.1885
Aanganwadi Bhawan Nirman,Solar street light installation,NOT_MATCH,0.0392,0.0257
Community Bhavan construction,Vaccination camp for cattle,NOT_MATCH,0.1096,0.1076
