work_id,mp_no,fy,work_no,mp_name,mp_state,state,constituency,work_category,work_desc,work_status,recommended_date,recommended_amount,sanction_date,sanction_amount,completion_date,amount_disbursed,exp_pay_count,exp_total,exp_inprogress,exp_paid,exp_vendors,alloc_limit,calamity_consent,is_recommended,is_sanctioned,is_completed,has_expenditure,dup_partner_count,dup_partner_sim_max,dup_partner_cross_fy,has_duplicate_lead,anomaly_score,is_anomaly,flag_unparseable,flag_stalled,flag_incomplete,flag_sanction_overrun,flag_zero_disbursal,flag_cost_overrun,reasons,risk_score,is_flagged,fraud_type,fraud_priority,fraud_signals,fraud_narrative,legal_route
MP18041/2024-2025/143088,18041.0,2024-2025,143088.0,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,Bihar,PURNEA,Normal/Others,16 miter unchai wale L.E.D. (150*8) high mask light purnia college chock me aek adad adhisthapit karne ki anusansha ki jati hai,Physical Inspection,2024-09-24,850000.0,2024-12-06,850000.0,,,,,,,,147000000.0,,1,1,0,0,35,0.9972,3,True,0.0941520343883322,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP18041/2024-2025/143089,18041.0,2024-2025,143089.0,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,Bihar,PURNEA,Normal/Others,16 miter unchai wale L.E.D. (150*8) high mask light D.I.G. Chauk me aek adad adhisthapit karne ki anusansha ki jati hai,Physical Inspection,2024-09-24,850000.0,2024-12-06,850000.0,,,,,,,,147000000.0,,1,1,0,0,35,0.9966,3,True,0.0941520343883322,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP632/2024-2025/134105,632.0,2024-2025,134105.0,Anto Antony,Kerala,Kerala,PATHANAMTHITTA,Normal/Others,Proving 8 Meter LED Mini Mast Light at Chemmalamattom Junction in Thidanadu Grama Panchayat.,Sanction,2024-07-24,250000.0,2024-11-28,250000.0,,,,,,,,147000000.0,,1,1,0,0,3,0.9697,1,True,0.04521360541012964,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP18041/2024-2025/143090,18041.0,2024-2025,143090.0,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,Bihar,PURNEA,Normal/Others,16 miter unchai wale L.E.D. (150*8) high mask light rajendra bal udhan me aek adad adhisthapit karne ki anusansha ki jati hai,Physical Inspection,2024-09-24,850000.0,2024-12-06,850000.0,,,,,,,,147000000.0,,1,1,0,0,35,0.996,3,True,0.0941520343883322,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP632/2024-2025/134103,632.0,2024-2025,134103.0,Anto Antony,Kerala,Kerala,PATHANAMTHITTA,Normal/Others,Proving 8 Meter LED Mini Mast Light at SCB Junction in Teekoy Grama Panchayat.,Physical Inspection,2024-07-24,250000.0,2024-11-28,250000.0,,,,,,,,147000000.0,,1,1,0,0,3,0.9697,1,True,0.04521360541012964,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP632/2024-2025/134101,632.0,2024-2025,134101.0,Anto Antony,Kerala,Kerala,PATHANAMTHITTA,Normal/Others,Proving 8 Meter LED Minimast Light at Check Dam Junction Manimala Grama Panchayat,Sanction,2024-07-24,250000.0,2024-11-11,250000.0,,,,,,,,147000000.0,,1,1,0,0,3,0.948,1,True,0.056873513644316254,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP18041/2024-2025/143127,18041.0,2024-2025,143127.0,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,Bihar,PURNEA,Normal/Others,16 miter unchai wale L.E.D. (150*8) high mask light mawesi hat ke mod par aek adad adhisthapit karne ki anusansha ki jati hai,Physical Inspection,2024-09-24,850000.0,2024-12-18,850000.0,,,,,,,,147000000.0,,1,1,0,0,36,0.9979,3,True,0.07122336946751107,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP18041/2024-2025/143150,18041.0,2024-2025,143150.0,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,Bihar,PURNEA,Normal/Others,16 miter unchai wale L.E.D. (150*8) high mask light dhamdaha nagar panchayat mukhyalay me aek adad adhisthapit karne ki anusansha ki jati hai,Physical Inspection,2024-09-24,850000.0,2024-12-05,850000.0,,,,,,,,147000000.0,,1,1,0,0,36,0.996,3,True,0.09502201772049956,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP18041/2024-2025/143148,18041.0,2024-2025,143148.0,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,Bihar,PURNEA,Normal/Others,16 miter unchai wale L.E.D. (150*8) high mask light khokha panchayat ke bansar chauk me aek adad adhisthapit karne ki anusansha ki jati hai,Physical Inspection,2024-09-24,850000.0,2024-12-18,850000.0,,,,,,,,147000000.0,,1,1,0,0,35,0.9972,3,True,0.07122336946751107,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
MP18041/2024-2025/143128,18041.0,2024-2025,143128.0,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,Bihar,PURNEA,Normal/Others,16 miter unchai wale L.E.D. (150*8) high mask light marketing yard ke parishar me aek adad adhisthapit karne ki anusansha ki jati hai,Physical Inspection,2024-09-24,850000.0,2024-12-18,850000.0,,,,,,,,147000000.0,,1,1,0,0,35,0.998,3,True,0.07122336946751107,False,False,True,True,False,True,False,"stalled: sanctioned before 2025-01-01, never completed; sanctioned but never completed; sanctioned but zero amount disbursed; duplicate-resubmission candidate (cross-FY, same MP+amount, description sim >= 0.8)",80,True,duplicate_claim,1,"duplicate_resubmission,stalled_no_funds,zero_disbursal",Duplicate-claim candidate: a near-identical work description for the same MP and amount appears in a different financial year (cross-FY partner).,internal - administrative recovery
