mp_no,mp_name,mp_state,works,sanctioned,completed,recommended_total,sanctioned_total,disbursed_total,spent_total,alloc_limit,stalled,zero_disbursal,dup_leads,anomalies,avg_risk_per_work,spend_pct_alloc,cumulative_risk_points,risk_rank
334.0,Shri Chandra Prakash Choudhary,Jharkhand,457,451,0,38736462.0,38736462.0,0.0,5685177.0,147000000.0,379,451,0,0,48.7636761487965,3.867467346938776,2039,1
838.0,Dharmasthala Veerendra Heggade,Karnataka,395,296,7,31272228.0,29773967.0,6482443.0,13939823.0,196063957.11,201,290,0,2,32.59493670886076,7.109834569022383,1187,2
106.0,Vivek K. Tankha,Madhya Pradesh,236,182,70,68946579.0,62743256.0,25854386.0,13885048.0,220563957.11,87,115,5,70,29.110169491525422,6.295247955256455,651,3
577.0,Jaswantsinh Sumanbhai Bhabhor,Gujarat,140,113,4,39185188.0,34949518.0,1279500.0,9339102.0,147000000.0,0,109,29,26,24.464285714285715,6.353130612244898,386,4
353.0,Adv Dean Kuriakose,Kerala,84,55,1,23579067.0,17283339.0,0.0,8102721.0,147000000.0,3,55,62,0,32.79761904761905,5.512055102040817,367,5
423.0,Shri Abhishek Banerjee,West Bengal,152,150,61,46418634.0,46418634.0,16657198.0,1054294.0,147000000.0,59,89,0,0,25.29605263157895,0.7172068027210885,355,6
18338.0,CHAMALA KIRAN KUMAR REDDY,Telangana,263,0,251,9625194.0,0.0,26526935.0,4993986.0,147000000.0,0,0,87,0,8.269961977186313,3.3972693877551023,348,7
847.0,Baburam Nishad,Uttar Pradesh,240,125,117,65537084.32,42182728.32,40084308.32,3239785.0,196063957.11,3,13,72,3,9.270833333333334,1.6524123289944344,329,8
197.0,Neeraj Shekhar,Uttar Pradesh,93,91,32,82063419.0,82063419.0,39997707.0,0.0,236483662.11,61,61,0,1,36.29032258064516,0.0,307,9
140.0,Sant Balbir Singh,Punjab,122,69,60,54250157.0,44075359.0,40662604.0,8840665.0,196359074.44000003,25,26,29,24,21.311475409836067,4.502295106662553,291,10
202.0,Seema Dwivedi,Uttar Pradesh,161,106,96,50841105.4,46633416.4,58386186.4,8711417.0,173830159.11,44,46,0,31,19.130434782608695,5.011453158992624,286,11
78.0,Sikander Kumar,Himachal Pradesh,185,114,97,44482245.0,44182245.0,42755527.04,13953767.0,207863957.11,36,44,0,39,15.783783783783784,6.71293243619709,274,12
18221.0,NARAYAN DAS AHIRWAR,Uttar Pradesh,155,150,20,35864345.160000004,35864345.160000004,4777432.800000001,2921794.0,147000000.0,0,131,0,0,16.903225806451612,1.9876149659863944,262,13
138.0,Sulata Deo,Odisha,111,64,17,44950000.0,44950000.0,8200000.0,14522329.0,196084721.4,47,53,0,5,25.27027027027027,7.406150207070645,257,14
18380.0,VINOD KUMAR BIND,Uttar Pradesh,375,125,141,22024596.0,14884883.0,16776209.0,14960837.0,147000000.0,0,125,0,0,6.666666666666667,10.177440136054422,250,15
444.0,Durga Das Uikey,Madhya Pradesh,141,0,36,32631426.0,0.0,10419894.0,2571725.0,151569502.91,0,0,62,0,10.99290780141844,1.6967298504152624,248,16
632.0,Anto Antony,Kerala,87,81,0,30283482.0,29296292.0,0.0,1842255.0,147000000.0,18,81,6,4,28.50574712643678,1.253234693877551,248,17
180.0,K. Laxman,Uttar Pradesh,143,122,76,18644714.0,18644714.0,20229149.0,19091709.0,197637007.11,48,48,0,1,18.6013986013986,9.659986901832617,242,18
19.0,Hardeep Singh Puri,Uttar Pradesh,193,172,134,96611404.89,96611404.89,69487517.89,11323656.0,226801049.11,39,39,0,21,13.290155440414507,4.992770555707594,237,19
643.0,Gyaneshwar Patil,Madhya Pradesh,95,62,19,24731533.0,14569720.0,2410874.0,4087669.0,155690684.77,47,47,0,1,27.42105263157895,2.625506468828668,237,20
826.0,Raju Bista,West Bengal,88,86,9,42941398.0,42941398.0,4119029.0,2342202.0,147000000.0,23,77,0,5,27.78409090909091,1.593334693877551,233,21
192.0,Surendra Singh Nagar,Uttar Pradesh,143,107,71,86590369.0,65426113.0,40662454.0,5062040.0,220563957.11,40,40,0,16,17.622377622377623,2.2950440617437105,232,22
18074.0,KALI CHARAN MUNDA,Jharkhand,80,78,31,48308000.0,48308000.0,19500000.0,750000.0,147000000.0,44,47,0,1,31.25,0.5102040816326531,228,23
18041.0,RAJESH RANJAN ALIAS PAPPU YADAV,Bihar,70,40,21,36550000.0,36550000.0,20400000.0,24848000.0,147000000.0,7,19,37,1,22.428571428571427,16.90340136054422,209,24
18253.0,BAPI HALDAR,West Bengal,84,77,34,27582108.0,26182345.0,9000363.0,3960636.0,147000000.0,40,43,0,0,26.904761904761905,2.6943102040816327,206,25
443.0,Rodmal Nagar,Madhya Pradesh,103,99,5,45840547.0,45840547.0,23480459.0,1200000.0,147000000.0,0,94,0,5,19.223300970873787,0.8163265306122449,198,26
131.0,Sasmit Patra,Odisha,76,55,19,35900000.0,35900000.0,10564746.0,7376397.0,196063957.11,35,36,0,2,26.11842105263158,3.762240193826923,181,27
18232.0,HARENDRA SINGH MALIK,Uttar Pradesh,61,46,12,24673199.0,24660318.0,6491537.0,5135069.0,147000000.0,30,34,0,9,31.311475409836067,3.493244217687075,176,28
833.0,Jairam Ramesh,Karnataka,44,44,13,52147985.0,52147985.0,22497985.0,0.0,220563957.11,24,31,0,16,40.45454545454545,0.0,166,29
681.0,Sanjay Haribhau Jadhav,Maharashtra,45,40,4,35163301.0,35163301.0,3197944.0,2695344.0,147000000.0,28,37,0,0,38.22222222222222,1.8335673469387754,158,30
831.0,Rwngwra Narzary,Assam,72,48,3,67685374.0,62686374.0,4200000.0,24943843.0,220563957.11,10,46,0,16,22.083333333333332,11.309120187556285,154,31
84.0,Jaggesh,Karnataka,125,79,74,73875939.0,39386543.0,58346404.0,2747190.0,196063957.11,14,26,6,17,12.0,1.4011703326270786,152,32
812.0,Vijay Kumar Dubey,Uttar Pradesh,106,56,59,41291929.0,13231564.0,15409644.0,300000.0,148900000.0,0,7,34,0,9.339622641509434,0.20147750167897915,150,33
18238.0,RAMASHANKAR RAJBHAR,Uttar Pradesh,102,77,17,32447445.0,32447445.0,6852941.0,3235492.0,160056927.07,9,61,0,0,15.049019607843137,2.021463275116469,149,34
18236.0,CHHOTELAL,Uttar Pradesh,133,131,70,43060751.0,42816996.0,22124861.0,919796.0,147000000.0,4,62,0,1,10.526315789473685,0.6257115646258503,138,35
18219.0,AJENDRA SINGH LODHI,Uttar Pradesh,79,68,3,39030000.0,36030000.0,5486220.0,10470668.0,147000000.0,0,68,0,0,17.21518987341772,7.122903401360545,136,36
479.0,Saumitra khan,West Bengal,36,31,0,29176583.0,29176583.0,0.0,7405591.0,147000000.0,24,31,0,1,41.111111111111114,5.037817006802721,136,37
18161.0,SANJNA JATAV,Rajasthan,112,81,58,38257287.1,37257287.1,28965022.1,11950401.0,147000000.0,21,29,0,7,12.991071428571429,8.129524489795918,135,38
716.0,Smt Harsimrat Kaur Badal,Punjab,96,42,17,11239211.0,11239211.0,4092731.0,12426203.0,159775982.39,23,26,0,4,14.635416666666666,7.777265903249879,129,39
858.0,Asit Kumar Mal,West Bengal,104,60,67,61941850.0,49876871.0,61278166.0,5041147.0,275694456.74,15,32,0,9,12.932692307692308,1.8285267899869926,127,40
429.0,Jyotsna Charandas Mahant,Chhattisgarh,142,59,73,25270232.0,20021503.0,25235229.0,8210097.0,155153738.11,20,27,3,0,9.26056338028169,5.291588265942553,126,41
850.0,Naresh Bansal,Uttarakhand,103,69,65,66956964.0,52705964.0,53431494.0,18610086.0,222043184.71,10,10,9,19,11.21359223300971,8.381291244901638,124,42
846.0,Damodar Rao Divakonda,Telangana,88,37,28,45614913.0,31375998.0,14836169.0,16832168.0,239919406.11,17,25,0,11,14.943181818181818,7.015759280548846,123,43
18152.0,SARABJEET SINGH KHALSA,Punjab,169,115,117,29489788.0,29955265.0,26143575.0,4065419.0,150850348.15,10,28,8,1,6.686390532544379,2.695001403614593,120,44
235.0,Sandeep Kumar Pathak,Punjab,256,1,4,2000000.0,499523.0,4832969.0,117431958.0,232203454.24,0,0,0,59,4.609375,50.57287299379496,118,45
18006.0,DAGGUMALLA PRASADA RAO,Andhra Pradesh,103,76,68,46841989.0,42021484.0,29809286.0,6934898.0,147000000.0,17,17,0,15,11.990291262135923,4.71761768707483,115,46
141.0,Harbhajan Singh,Punjab,87,28,24,43817810.0,37026910.0,18643279.0,29841587.0,220984094.27,16,16,0,17,14.022988505747126,13.50395244444124,114,47
18007.0,Putta Mahesh Kumar,Andhra Pradesh,64,50,0,28058000.0,22100000.0,0.0,7542633.0,147000000.0,1,50,0,0,16.171875,5.131042857142857,103,48
81.0,Aditya Prasad,Jharkhand,115,57,104,88090770.0,45357770.0,79741000.0,1248274.0,227628508.2,8,8,4,23,8.695652173913043,0.5483821028705402,102,49
18173.0,THARANIVENTHAN M S,Tamil Nadu,69,50,24,36045938.0,32645938.0,10773587.0,6224020.0,168337124.35,16,26,0,1,15.942028985507246,3.697354356047606,102,50
146.0,Mukul Wasnik,Rajasthan,81,31,30,50784112.0,42550195.0,35674620.0,24053046.0,196063957.11,13,14,0,17,13.271604938271604,12.2679590652683,101,51
761.0,Arvind Dharmapuri,Telangana,270,62,220,51586441.0,24003343.0,70885882.0,8408635.0,281396355.11,7,20,7,6,3.4814814814814814,2.9881819175351434,101,52
582.0,Prabhubhai Nagarbhai Vasava,Gujarat,58,29,13,14563584.0,6552484.0,3829777.0,5114791.0,147000000.0,13,20,5,0,16.896551724137932,3.479449659863946,99,53
107.0,Sumitra Balmik,Madhya Pradesh,59,36,32,42864948.0,39655566.0,40017517.0,10889920.0,196063957.11,9,11,4,17,16.52542372881356,5.554269209149085,99,54
186.0,Arun Singh,Uttar Pradesh,43,35,19,73493294.0,73493294.0,36777145.0,12286209.0,223492764.11,12,16,0,15,24.186046511627907,5.497363213939624,98,55
18155.0,DR. RAJ KUMAR CHABBEWAL,Punjab,93,36,26,9298000.0,8500000.0,11128572.0,7106605.0,147000000.0,18,18,0,4,11.505376344086022,4.834425170068028,98,56
139.0,S. Selvaganabathy,Puducherry,46,25,19,87478166.0,57949289.0,38810541.0,31299582.0,292881856.49,3,8,0,33,20.108695652173914,10.686760311855876,91,57
18322.0,NALIN SOREN,Jharkhand,43,19,1,7000000.0,7000000.0,450000.0,3837500.0,147364097.11,18,18,0,0,23.023255813953487,2.60409426397496,90,58
18245.0,BAG MITALI,West Bengal,31,20,1,11231376.0,8842136.0,500000.0,3457026.0,147000000.0,13,19,2,0,28.548387096774192,2.3517183673469386,85,59
18250.0,SK NURUL ISLAM,West Bengal,18,18,3,35118648.0,35118648.0,9497831.0,0.0,49000000.0,4,15,3,15,45.27777777777778,0.0,84,60
195.0,B.L. Verma,Uttar Pradesh,348,277,330,70796285.09,67465735.09,64757741.09,1232185.0,196063957.11,15,16,0,3,2.6005747126436782,0.6284607421794987,83,61
386.0,Shri Hanuman Beniwal,Rajasthan,167,149,139,42252197.0,40183615.0,36306197.0,6598170.0,147000000.0,16,16,0,1,5.389221556886228,4.488551020408163,82,62
18339.0,KARAN BHUSHAN SINGH,Uttar Pradesh,34,18,16,26454989.0,26454989.0,22893876.0,3000018.0,147000000.0,15,15,0,2,25.441176470588236,2.0408285714285714,79,63
485.0,Pratima Mondal,West Bengal,92,66,54,32974236.0,26288374.0,19049872.0,874827.0,147000000.0,8,25,0,2,8.91304347826087,0.5951204081632653,78,64
243.0,Kakoli Ghosh Dastidar,West Bengal,46,40,4,34051271.0,28571271.0,2986922.0,785253.0,147000000.0,0,36,0,2,16.52173913043478,0.5341857142857143,76,65
